kinase,gene,uniprot,provenance,n_structures,n_dfg_in,n_dfg_out,accessible_states,n_type1_inhibitors,n_type2_inhibitors,type1_inhibitors,type2_inhibitors,type2_opportunity,med_dfg_achelix_distance_A,med_hinge_angle_deg,n_descriptors
ABL2,ABL2,P42684,experimental,10,6,4,DFG-in|DFG-out,1,2,VX6,"DKI,STI",0.226,,,0
BUB1,BUB1,O43683,experimental,7,7,0,DFG-in,1,0,CVQ,,0.226,,,0
p38g,MAPK12,P53778,experimental,7,7,0,DFG-in,0,0,,,0.226,,,0
PRPK,TP53RK,Q96S44,experimental,7,7,0,DFG-in,4,0,"DO0,DQ4,DUI,DVO",,0.226,,,0
GAK,GAK,O14976,experimental,20,15,5,DFG-in|DFG-out,4,2,"49J,824,FEF,IRE","824,FEF",0.22,,,0
BMX,BMX,P51813,experimental,7,2,5,DFG-in|DFG-out,1,3,LTJ,"1N1,H88,PP2",0.218,,,0
JAK2,JAK2,O60674,experimental,236,230,6,DFG-in|DFG-out,94,2,"0NH,0NU,0NV,0TP,0X2,0X5,15V,17P,1J5,1K3,1M3,1P5,1P6,1RS,2HB","046,I6C",0.218,,,0
RSK2,RPS6KA3,P51812,experimental,13,4,9,DFG-in|DFG-out,2,4,"2NR,2NS","2NK,583,584,QCT",0.216,,,0
EphB4,EPHB4,P54760,experimental,41,35,6,DFG-in|DFG-out,15,2,"1N1,30K,32W,7X1,7X2,7X3,7X4,7X5,7X6,7X7,7X8,AS6,DXK,STU,X9F","DWT,DXH",0.214,,,0
BMPR2,BMPR2,Q13873,experimental,6,6,0,DFG-in,0,0,,,0.211,,,0
GPRK5,GRK5,P34947,experimental,6,6,0,DFG-in,3,0,"SGV,W2T,W3F",,0.211,,,0
GPRK6,GRK6,P43250,experimental,6,6,0,DFG-in,1,0,SGV,,0.211,,,0
PAK5,PAK5,Q9P286,experimental,6,6,0,DFG-in,1,0,23D,,0.211,,,0
PAK6,PAK6,Q9NQU5,experimental,6,6,0,DFG-in,2,0,"7KC,B49",,0.211,,,0
PASK,PASK,Q96RG2,experimental,6,6,0,DFG-in,0,0,,,0.211,,,0
PLK4,PLK4,O00444,experimental,6,6,0,DFG-in,2,0,"4J7,631",,0.211,,,0
p38b,MAPK11,Q15759,experimental,7,4,3,DFG-in|DFG-out,1,2,B45,"B96,NIL",0.204,,,0
ADCK3,COQ8A,Q8NI60,experimental,5,5,0,DFG-in,1,0,MVS,,0.195,,,0
CK1a,CSNK1A1,P48729,experimental,5,5,0,DFG-in,1,0,LCI,,0.195,,,0
MLK1,MAP3K9,P80192,experimental,5,5,0,DFG-in,1,0,VIN,,0.195,,,0
QSK,SIK3,Q9Y2K2,experimental,5,5,0,DFG-in,5,0,"DB8,VRU,XVI,XW3,XWA",,0.195,,,0
PAK1,PAK1,Q13153,experimental,70,48,19,DFG-in|DFG-out,19,4,"0H2,107,1ST,2K0,2OL,4T3,4T5,4T6,59N,59T,59U,6BZ,7KC,C7Y,DW1","4OQ,4OR,4PV,59T",0.193,,,0
TIE2,TEK,Q02763,experimental,13,1,12,DFG-in|DFG-out,1,6,0CE,"3WR,919,MR9,MUH,QQ1,RAJ",0.192,,,0
SYK,SYK,P43405,experimental,139,137,2,DFG-in|DFG-out,69,2,"057,0JE,0K0,0K1,0SB,0VE,0VF,0VG,0VH,0XF,1B4,1B5,1B6,2X6,3RT","FPU,FPX",0.189,,,0
AurB,AURKB,Q96GD4,experimental,1,0,1,DFG-out,0,1,,VX6,0.188,,,0
IRE1,ERN1,O75460,experimental,54,45,9,DFG-in|DFG-out,11,3,"3E4,4L5,N8S,N97,QFV,SJG,SJM,SJS,SJV,STU,U4N","4K7,GUK,GXK",0.181,,,0
ULK3,ULK3,Q6PHR2,experimental,2,1,1,DFG-in|DFG-out,1,1,DB8,C87,0.179,,,0
FGR,FGR,P09769,experimental,7,6,1,DFG-in|DFG-out,1,1,VSE,OJL,0.177,,,0
AurC,AURKC,Q9UQB9,experimental,4,4,0,DFG-in,2,0,"F8Z,VX6",,0.175,,,0
AXL,AXL,P30530,experimental,4,4,0,DFG-in,1,0,7YS,,0.175,,,0
BMPR1B,BMPR1B,O00238,experimental,4,4,0,DFG-in,1,0,LDN,,0.175,,,0
CaMK1g,CAMK1G,Q96NX5,experimental,4,4,0,DFG-in,1,0,J60,,0.175,,,0
CaMK2b,CAMK2B,Q13554,experimental,4,4,0,DFG-in,1,0,5CP,,0.175,,,0
CDKL2,CDKL2,Q92772,experimental,4,4,0,DFG-in,2,0,"DKI,TC0",,0.175,,,0
CSK,CSK,P41240,experimental,4,3,1,DFG-in|DFG-out,1,1,STU,STU,0.175,,,0
EphA8,EPHA8,P29322,experimental,4,4,0,DFG-in,0,0,,,0.175,,,0
GSK3A,GSK3A,P49840,experimental,4,4,0,DFG-in,2,0,"6VL,D1E",,0.175,,,0
IRAK1,IRAK1,P51617,experimental,4,4,0,DFG-in,1,0,DL1,,0.175,,,0
MASTL,MASTL,Q96GX5,experimental,4,4,0,DFG-in,1,0,STU,,0.175,,,0
RON,MST1R,Q04912,experimental,4,4,0,DFG-in,0,0,,,0.175,,,0
SgK085,MYLK4,Q86YV6,experimental,4,4,0,DFG-in,1,0,16X,,0.175,,,0
PIM2,PIM2,Q9P1W9,experimental,4,4,0,DFG-in,2,0,"3YR,HB1",,0.175,,,0
PKCh,PRKCH,P24723,experimental,4,4,0,DFG-in,3,0,"07U,XXF,Y3I",,0.175,,,0
ROS,ROS1,P08922,experimental,4,4,0,DFG-in,4,0,"5P8,AWJ,IDW,VGH",,0.175,,,0
SGK1,SGK1,O00141,experimental,4,4,0,DFG-in,3,0,"86H,GMG,MMG",,0.175,,,0
YSK1,STK25,O00506,experimental,5,4,1,DFG-in|DFG-out,2,1,"IB5,J60",J60,0.175,,,0
VRK3,VRK3,Q8IV63,experimental,4,4,0,DFG-in,0,0,,,0.175,,,0
ZAP70,ZAP70,P43403,experimental,4,4,0,DFG-in,1,0,STU,,0.175,,,0
HH498,TNNI3K,Q59H18,experimental,31,28,3,DFG-in|DFG-out,3,2,"4CV,4CW,CV4","ZFS,ZGD",0.174,,,0
FGFR4,FGFR4,P22455,experimental,58,51,7,DFG-in|DFG-out,24,3,"37O,38O,40M,5JR,6LF,7IF,90F,99K,9CT,AWX,AX0,BYU,FGF,GX3,HHL","0LI,37O,FI3",0.164,,,0
LOK,STK10,O94804,experimental,47,23,20,DFG-in|DFG-out,7,6,"1N1,274,DB8,DJ8,R09,R70,XZN","88Z,B6E,B96,G6I,GW8,R09",0.162,,,0
PEK,EIF2AK3,Q9NZJ5,experimental,22,12,10,DFG-in|DFG-out,8,5,"0WH,27D,3Z6,924,WPB,WPX,WQ2,Z6P","3Z1,3Z2,3Z3,3Z4,3Z5",0.16,,,0
p38d,MAPK13,O15264,experimental,11,9,2,DFG-in|DFG-out,2,2,"0RX,N17","N58,N61",0.155,,,0
LIMK1,LIMK1,P53667,experimental,17,15,2,DFG-in|DFG-out,4,2,"9DB,LH0,RXQ,STU","RXN,T3B",0.154,,,0
MLKL,MLKL,Q8NB16,experimental,17,14,2,DFG-in|DFG-out,2,2,"6UY,ZL1","6UX,LN4",0.154,,,0
CHED,CDK13,Q14004,experimental,3,3,0,DFG-in,1,0,5I1,,0.151,,,0
CDKL1,CDKL1,Q00532,experimental,3,3,0,DFG-in,1,0,D15,,0.151,,,0
CDKL5,CDKL5,O76039,experimental,3,3,0,DFG-in,2,0,"38R,US0",,0.151,,,0
HIPK2,HIPK2,Q9H2X6,experimental,3,3,0,DFG-in,2,0,"3NG,U82",,0.151,,,0
IGF1R,IGF1R,P08069,experimental,79,55,24,DFG-in|DFG-out,16,6,"01P,575,66A,741,8LN,BMI,D94,DYK,EBI,GD5,IER,LGV,LGW,LGX,OZN","IC2,ICV,IE0,IEA,IED,MQY",0.151,,,0
RNAseL,RNASEL,Q05823,experimental,3,3,0,DFG-in,0,0,,,0.151,,,0
RSK3,RPS6KA1,Q15418,experimental,3,3,0,DFG-in,2,0,"P01,STU",,0.151,,,0
ULK4,ULK4,Q96C45,experimental,3,3,0,DFG-in,1,0,3RJ,,0.151,,,0
EphA3,EPHA3,P29320,experimental,60,49,5,DFG-in|DFG-out,8,3,"25Q,37W,C07,L66,L87,L90,O4B,Q0B","B96,IFC,Q7M",0.149,,,0
MELK,MELK,Q14680,experimental,85,77,5,DFG-in|DFG-out,23,3,"1WS,3I7,45R,5QM,5U5,6BB,6BE,6BF,6BJ,6Z7,7KC,7KD,7LV,7LY,7MY","0V0,47W,6PV",0.149,,,0
ALK,ALK,Q9UM73,experimental,95,91,4,DFG-in|DFG-out,39,3,"0JF,0US,0UU,0UV,25J,3DK,3U9,45Q,4LO,4MK,571,5P8,6GY,6YL,AWF","34Y,729,I3K",0.145,,,0
IRAK4,IRAK4,Q9NWZ3,experimental,306,295,11,DFG-in|DFG-out,68,4,"42P,4GD,4GF,4S1,4S2,4S3,6QX,6QY,6QZ,6R0,6R1,6YD,6YE,76P,76Q","0LI,6QZ,J8A,JX4",0.142,,,0
RIPK2,RIPK2,O43353,experimental,85,75,10,DFG-in|DFG-out,15,4,"6GD,6GE,9XA,E7N,GEZ,IQ7,K9T,KA2,KRE,M2B,M5W,Q9J,SB2,STU,XYW","0LI,9WS,BW8,SR8",0.142,,,0
SRC,SRC,P12931,experimental,58,52,3,DFG-in|DFG-out,15,3,"0J9,24A,6H3,C0N,DB8,H8H,HET,HVY,JA6,L1N,MPZ,NBS,P01,UCW,UJ0","0LI,DB8,P01",0.134,9.56,61.73,33
ATR,ATR,Q13535,experimental,2,2,0,DFG-in,0,0,,,0.119,,,0
CaMK2g,CAMK2G,Q13555,experimental,2,2,0,DFG-in,0,0,,,0.119,,,0
CLK4,CLK4,Q9HAZ1,experimental,2,2,0,DFG-in,1,0,3NG,,0.119,,,0
CK1g1,CSNK1G1,Q9HCP0,experimental,2,2,0,DFG-in,1,0,OLP,,0.119,,,0
DMPK1,DMPK,Q09013,experimental,2,2,0,DFG-in,1,0,BI8,,0.119,,,0
DYRK1B,DYRK1B,Q9Y463,experimental,2,2,0,DFG-in,1,0,QS0,,0.119,,,0
EphA5,EPHA5,P54756,experimental,2,2,0,DFG-in,0,0,,,0.119,,,0
GPRK4,GRK4,P32298,experimental,2,2,0,DFG-in,1,0,AN2,,0.119,,,0
HIPK3,HIPK3,Q9H422,experimental,2,2,0,DFG-in,1,0,6ZV,,0.119,,,0
IRR,INSRR,P14616,experimental,2,2,0,DFG-in,0,0,,,0.119,,,0
LYN,LYN,P07948,experimental,2,2,0,DFG-in,2,0,"8H0,STU",,0.119,,,0
MAP2K2,MAP2K2,P36507,experimental,2,2,0,DFG-in,0,0,,,0.119,,,0
MAP2K7,MAP2K7,O14733,experimental,57,25,32,DFG-in|DFG-out,15,11,"1XZ,21I,24N,2GI,2I5,2I8,6HF,6HL,862,95U,H8Z,J0B,J0E,J3H,J3N","1FM,1XZ,21I,2I8,8E8,95U,FU6,IHH,OQ2,OQ8,SU9",0.119,,,0
MARK4,MARK4,Q96L34,experimental,2,2,0,DFG-in,1,0,5RC,,0.119,,,0
PAK3,PAK3,O75914,experimental,2,2,0,DFG-in,0,0,,,0.119,,,0
PBK,PBK,Q96KB5,experimental,2,2,0,DFG-in,0,0,,,0.119,,,0
SgK269,PEAK1,Q9H792,experimental,2,2,0,DFG-in,0,0,,,0.119,,,0
PKCb,PRKCB,P05771,experimental,2,2,0,DFG-in,1,0,PDS,,0.119,,,0
RIPK3,RIPK3,Q9Y572,experimental,2,2,0,DFG-in,2,0,"ZL1,ZOV",,0.119,,,0
MSK1,RPS6KA5,O75582,experimental,2,2,0,DFG-in,0,0,,,0.119,,,0
SNRK,SNRK,Q9NRH2,experimental,2,2,0,DFG-in,0,0,,,0.119,,,0
MPSK1,STK16,O75716,experimental,2,2,0,DFG-in,1,0,STU,,0.119,,,0
DRAK1,STK17A,Q9UEE5,experimental,2,2,0,DFG-in,2,0,"F7I,F8I",,0.119,,,0
TAO3,TAOK3,Q9H2K8,experimental,2,2,0,DFG-in,0,0,,,0.119,,,0
HPK1,MAP4K1,Q92918,experimental,69,41,28,DFG-in|DFG-out,12,10,"2TR,2WI,2YE,B49,F97,W9D,XHM,XHV,XXF,Y3I,Y3O,YK1","9ID,B49,UES,USF,XHS,XOH,XON,XOR,YK4,YK7",0.11,,,0
LCK,LCK,P06239,experimental,41,32,9,DFG-in|DFG-out,26,6,"1N9,547,5LK,5PB,7KW,925,979,9NH,AM0,AM9,KBM,KSC,KSE,KSF,KSH","1N8,242,AM5,AM6,ODJ,STI",0.109,10.01,57.92,39
MER,MERTK,Q12866,experimental,79,65,12,DFG-in|DFG-out,26,6,"24K,4MH,6Q1,79Y,7AE,7YS,9VS,C6F,CKJ,E56,K0X,MH7,OLP,R6K,R6N","E0X,L1X,R6H,S4K,S4T,S5E",0.109,,,0
PYK2,PTK2B,Q14289,experimental,17,8,9,DFG-in|DFG-out,1,8,YAM,"0YH,0YJ,349,3JZ,4JZ,7FM,B96,P1E",0.109,,,0
RIPK1,RIPK1,Q13546,experimental,54,0,54,DFG-out,0,19,,"1HW,1HX,3CI,3IF,3IU,65U,7MJ,EJP,EJY,G4W,GO4,JSW,K8K,L4Y,L8D",0.109,,,0
NEK2,NEK2,P51955,experimental,52,15,22,DFG-in|DFG-out,7,10,"4SP,7GJ,BX1,F9N,NU6,T3M,WI2","430,5R1,5Z5,ED8,GGY,JUP,OL2,WCX,WGZ,XK3",0.106,,,0
ABL1,ABL1,P00519,experimental,158,40,118,DFG-in|DFG-out,6,22,"1N1,4ST,627,AXI,SKI,VX6","1N1,406,4B7,66K,7MP,8DW,8IW,919,9DP,AXI,DB8,FVC,GIN,HJ9,JIN",0.095,10.43,59.26,57
KIT,KIT,P10721,experimental,69,18,49,DFG-in|DFG-out,8,18,"98A,9JI,9KI,9OO,9VV,9XO,WEG,WEJ","0LI,647,AWO,B49,DJX,F82,F88,F8B,F8H,G4E,JWY,K3R,KCI,O2H,O2K",0.093,11.86,58.67,48
FMS,CSF1R,P07333,experimental,29,2,27,DFG-in|DFG-out,1,18,BDY,"5CN,622,64M,6C3,8C5,A7O,I9W,IXH,KRJ,KRL,LC0,M9T,P31,STI,UF4",0.092,,,0
AKT1,AKT1,P31749,experimental,62,38,24,DFG-in|DFG-out,12,12,"0RF,0XZ,CQU,CQW,EX4,SM9,SMH,SMR,SMY,WFE,XFE,XM1","6S1,G4H,G4K,G4N,G4Q,G4T,L1W,L1Z,UC8,UCE,XOO,XQ2",0.088,9.14,60.35,36
TAK1,MAP3K7,O43318,experimental,30,15,8,DFG-in|DFG-out,10,8,"1FM,1UH,1UL,1UO,6JV,6KC,6KD,6V5,ADN,EDH","5KW,6H3,6HF,6V3,6V4,NG2,T92,YIY",0.086,,,0
CDK8,CDK8,P49336,experimental,47,33,14,DFG-in|DFG-out,19,10,"0SW,4TV,50R,5XG,5Y6,5Y7,5Y8,62M,68U,69Z,6A6,6A7,8CC,8D6,C1I","0SO,0SQ,0SR,0SS,0ST,0SU,0SV,66X,BAX,NZ8",0.084,,,0
DDR1,DDR1,Q08345,experimental,63,0,63,DFG-out,0,27,,"0LI,1IF,1IJ,1IM,1IW,1IZ,1JI,1K2,1N1,3UI,4VC,4VD,4VE,5WR,5X1",0.081,12.41,56.82,30
EGFR,EGFR,P00533,experimental,565,527,38,DFG-in|DFG-out,140,10,"03P,0UN,0WN,1C9,1E8,1WY,35Z,3LH,3QS,3QW,3QY,3R0,3R1,4YV,4YW","630,633,634,63A,8AM,8BM,8BP,8BS,8OV,O44",0.079,11.32,61.73,58
ACTR2B,ACVR2B,Q13705,experimental,1,1,0,DFG-in,1,0,ADE,,0.075,,,0
CaMK4,CAMK4,Q16566,experimental,1,1,0,DFG-in,1,0,DKI,,0.075,,,0
CDKL3,CDKL3,Q8IVW4,experimental,1,1,0,DFG-in,1,0,38R,,0.075,,,0
DYRK3,DYRK3,O43781,experimental,1,1,0,DFG-in,1,0,HRM,,0.075,,,0
EphB2,EPHB2,P29323,experimental,1,1,0,DFG-in,0,0,,,0.075,,,0
FYN,FYN,P06241,experimental,1,1,0,DFG-in,1,0,STU,,0.075,,,0
MLK4,MAP3K21,Q5TCX8,experimental,1,1,0,DFG-in,0,0,,,0.075,,,0
KHS2,MAP4K3,Q8IVH8,experimental,1,1,0,DFG-in,1,0,6G2,,0.075,,,0
PKN2,PKN2,Q16513,experimental,1,1,0,DFG-in,0,0,,,0.075,,,0
PLK3,PLK3,Q9H4B4,experimental,1,1,0,DFG-in,1,0,9ZP,,0.075,,,0
RSK1,RPS6KA2,Q15349,experimental,1,1,0,DFG-in,0,0,,,0.075,,,0
RSK1-b,RPS6KA2-b,Q15349,experimental,1,1,0,DFG-in,0,0,,,0.075,,,0
RYK,RYK,P34925,experimental,1,1,0,DFG-in,0,0,,,0.075,,,0
TLK2,TLK2,Q86UE8,experimental,1,1,0,DFG-in,0,0,,,0.075,,,0
Trb2,TRIB2,Q92519,experimental,1,1,0,DFG-in,0,0,,,0.075,,,0
Wee1B,WEE2,P0C1S8,experimental,1,1,0,DFG-in,1,0,8X7,,0.075,,,0
BTK,BTK,Q06187,experimental,264,239,20,DFG-in|DFG-out,98,10,"027,03C,04K,0B0,0B9,0BG,0BQ,0CI,0GW,0UW,1E8,1N1,2IE,2IJ,2P5","1N1,585,746,9M3,BXM,GYL,IS4,KLP,RQS,X9M",0.072,,,0
KDR,KDR,P35968,experimental,63,7,52,DFG-in|DFG-out,4,32,"887,994,KIM,LEV","00J,03X,0JA,0KF,276,2RL,42Q,5T2,608,706,857,900,A96,AAX,AAZ",0.059,12.38,57.17,30
EphA2,EPHA2,P29317,experimental,155,96,58,DFG-in|DFG-out,31,26,"1N1,627,8ZH,8ZK,8ZN,8ZQ,8ZT,8ZW,8ZZ,90B,90E,90K,90N,90T,90W","4Z5,88Z,DWT,DXH,FZW,G02,G0E,G0H,G0K,G0N,G0Q,GV0,HMW,HNZ,HO5",0.051,,,0
TRKA,NTRK1,P04629,experimental,96,23,72,DFG-in|DFG-out,9,38,"31Y,4EK,69C,7GI,AQ6,B9C,FKT,V4Z,YMX","31V,31W,31X,6K0,6K1,6K2,6K4,6UE,6UF,6UG,6UH,6UJ,6UK,6UM,7HF",0.051,,,0
BRAF,BRAF,P15056,experimental,243,154,89,DFG-in|DFG-out,36,32,"032,10Z,215,29L,2VX,324,325,4EF,5I4,5XJ,6DC,6N9,6NB,6NC,734","0JA,0LI,0NF,0T2,0WP,1OO,1SU,1SW,324,3K3,4Z5,54J,55J,831,8EN",0.045,12.54,61.34,60
MET,MET,P08581,experimental,165,118,43,DFG-in|DFG-out,59,24,"03X,044,0J3,0J8,0JJ,0JK,0JL,1JC,1RU,3E8,3EH,3QT,44X,46G,4K0","1FN,319,320,353,5B4,5I9,5IE,66L,88Z,A1ATS,CKK,DF6,DWF,L1X,L8V",0.045,12.08,55.81,60
AurA,AURKA,O14965,experimental,277,172,91,DFG-in|DFG-out,56,40,"0BX,0C0,0C3,0C8,0C9,0FY,0K6,2JZ,2VU,400,45B,4QV,5GX,5VC,626","0BY,0BZ,0C4,0C5,0C6,0C7,35R,48B,4RJ,4RK,4RM,5YZ,626,627,97B",0.034,,,0
p38a,MAPK14,Q16539,experimental,360,190,154,DFG-in|DFG-out,102,76,"048,084,094,09J,0OK,1GK,1M8,1R9,1RA,222,279,287,29A,2A8,2CH","06F,0OL,0ON,0OO,0OP,19B,1AU,1BU,1PP,1VI,337,3FF,437,52P,8EN",0.023,,,0
